post_id,username,timestamp_utc,caption,display_url,post_url,location,image_ref,associated_entities
3.785599587327989e+18,realdonaldtrump,2025-12-12 00:18:49+00:00,"Mexico must take care of its water and sewage problem, IMMEDIATELY. It is a true Threat to the People of Texas, California, and the United States of America!",https://scontent-det1-1.cdninstagram.com/v/t51.2885-15/590411063_798525683204521_9217604406729920250_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-det1-1.cdninstagram.com&_nc_cat=101&_nc_oc=Q6cZ2QGOIf585kjSZxeonuJHjeu_ZESyPVZbA3ZtFBhmbizG1OsjzsmbRL3JxJtu06S3GBc&_nc_ohc=SqdpvQivXgoQ7kNvwGetybE&_nc_gid=gga3vGB44-1QY5ZZYc6KNQ&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfudUpDhx99BF71QG-9pIblldtMUbbXPphisfj_cetKkZQ&oe=699EBFAB&_nc_sid=10d13b,https://www.instagram.com/p/DSJJsSIjNbj/,,,[]
3.7672002067235144e+18,scrapper_target3,2025-11-16 15:01:25+00:00,,https://scontent-atl3-3.cdninstagram.com/v/t51.2885-15/581849398_17842689831619399_6804824056908749445_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08_tt6&_nc_ht=scontent-atl3-3.cdninstagram.com&_nc_cat=107&_nc_oc=Q6cZ2QEw4L9qBNXXSx7A3HiEU1Cd_eP9giQFz-v06C727WZ2eH6BXpTkERIUZFcHiqmZnjo&_nc_ohc=z39m35l2vMAQ7kNvwEbktL5&_nc_gid=tfN0kWkxs11-9RQTY2AxSA&edm=APs17CUBAAAA&ccb=7-5&oh=00_AftVBxW-7C2hcLKSfZaopqFtCA_yDCD1-6RM4jC1AtwBZg&oe=699ED20A&_nc_sid=10d13b,https://www.instagram.com/p/DRHyKDniH_d/,,,[]
3.769147272097985e+18,scrapper_target3,2025-11-19 07:29:50+00:00,,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/581904330_17843107431619399_2157834961838569091_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08_tt6&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=107&_nc_oc=Q6cZ2QFGN8GZqleXKTmX87GIwXr8WV36uTF9Z94GI9U7qibgRzbbfHgPjxccb0F2g-Z_QfY&_nc_ohc=Lv-_8En4sugQ7kNvwElvudl&_nc_gid=muNMp4PkJl8HQ5lMnEvr0w&edm=APs17CUBAAAA&ccb=7-5&oh=00_AftAxi7T4Kp5_ThK8BO6INhZzBAdUafw8Scez99oo3ATuQ&oe=699EC9B4&_nc_sid=10d13b,https://www.instagram.com/p/DROs3ljiHEi/,,,[]
3.7781155088522373e+18,scrapper_target4,2025-12-01 16:28:07+00:00,,https://scontent-atl3-3.cdninstagram.com/v/t51.2885-15/586697395_17846791263614651_7023244159253319830_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08_tt6&_nc_ht=scontent-atl3-3.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QGvW3nA4Q55ziOArYlr_SrFftFeTvAywFAxUerM8LRg1KBOAVlaS-4dF-o1Qa4bDY4&_nc_ohc=33xITDrH4lkQ7kNvwE7bgHv&_nc_gid=bT9QuGwqdkTdOICnQNu6Mg&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfulKQTnjRWKo_EkwBMLavYpq2ZrtdRHZke8IaNhQlXFyw&oe=699EC032&_nc_sid=10d13b,https://www.instagram.com/p/DRukAm5iCTm/,,,[]
3.768676976836489e+18,scrapper_target3,2025-11-18 15:55:26+00:00,,https://scontent-ord5-3.cdninstagram.com/v/t51.2885-15/583231321_17843010120619399_2589432852282129632_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08_tt6&_nc_ht=scontent-ord5-3.cdninstagram.com&_nc_cat=107&_nc_oc=Q6cZ2QEsMfYqLalxf5P8ECbonLTIsP6d8SRLGDl6HYn-s28AzdAuGValYc3Xbuo030AfvOU&_nc_ohc=wCYmzQV9TdcQ7kNvwE088x7&_nc_gid=i6N9KoQyYfC0kywcjW48PA&edm=APs17CUBAAAA&ccb=7-5&oh=00_AftAcEpaKH7dvxOvcMPfxwLQagXFH1yasOhnmSrUfSCvPw&oe=699EAEBD&_nc_sid=10d13b,https://www.instagram.com/p/DRNB749iDDA/,,,[]
3.7753068214315197e+18,scrapper_target3,2025-11-27 19:27:45+00:00,,https://instagram.fabe1-1.fna.fbcdn.net/v/t51.2885-15/587408975_17844645198619399_8928857696949962378_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08_tt6&_nc_ht=instagram.fabe1-1.fna.fbcdn.net&_nc_cat=107&_nc_oc=Q6cZ2QGdmGTHYoMs5bu3f0WxAbqeoSXjJrBmkw3ZyyCcwAMdqrvxwGmKYSxsS9s5eIKhbsE&_nc_ohc=npGgoDM76t0Q7kNvwEeEzZp&_nc_gid=WeATKaDfz4S2it2O6hgGrQ&edm=APs17CUBAAAA&ccb=7-5&oh=00_AftWBw6GNUtBshUA7gSIt9CpFuqYQ8h0sRhgDdkfxh60CQ&oe=699EAF6C&_nc_sid=10d13b,https://www.instagram.com/p/DRklY05iOn2/,,,[]
3.775307171966632e+18,scrapper_target4,2025-11-27 19:28:27+00:00,,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/590403295_17846063733614651_4163269038478942777_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08_tt6&_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QF6OEVYhqe2UrylJ6MhczCsKd-Tch1DQjD9kUp_lAJF3quHUjsXVCDfAmWqgmzXRDA&_nc_ohc=RZjyTBTngbkQ7kNvwEzsWf6&_nc_gid=7mnW4KJe_kqhPj9oHUKZ_w&edm=APs17CUBAAAA&ccb=7-5&oh=00_Aft3ZYK4_uGSfSPPaEX64azhw6liNWkDxumBjOg8llSCxw&oe=699ECF2E&_nc_sid=10d13b,https://www.instagram.com/p/DRkld7XDkBz/,,,[]
3.7708445040315244e+18,scrapper_target3,2025-11-21 15:42:00+00:00,,https://scontent-mia3-2.cdninstagram.com/v/t51.2885-15/584363157_17843508744619399_4901282399229071099_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08_tt6&_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_cat=107&_nc_oc=Q6cZ2QFKH1c1OqyCoIlzTan7M8q2Lh99yQMKK4ZrYZFu4heHpCHt8WdS7xioZIGV6eudPyc&_nc_ohc=vSpA22M3rssQ7kNvwEy70cb&_nc_gid=cwh1x8KizyEp_fgnKatY5w&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfulKaZYRkrzdQ4TeeeYIMH4EywCZn2SsfjmfgI3ukgm7A&oe=699EBFDD&_nc_sid=10d13b,https://www.instagram.com/p/DRUuxj-CHZ2/,,,[]
3.770179367075599e+18,scrapper_target6,2025-11-20 17:40:25+00:00,,https://scontent-atl3-2.cdninstagram.com/v/t51.2885-15/583761827_17846749245608128_111047633139835662_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08_tt6&_nc_ht=scontent-atl3-2.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2QF0WJv2JJIyWozDXMPyLzr7Q77uL1tLGujaKS_swIgTE-6dmKtfjrTquP7DNe76GNs&_nc_ohc=bK7eJuD6zXQQ7kNvwGatzlt&_nc_gid=ihpXplXfh-UIjgke6k2ftA&edm=APs17CUBAAAA&ccb=7-5&oh=00_AftA5t8EmLaiPrDIjpEmKlrxLxZ4RliczCWiJQA52PThuA&oe=699EA5CC&_nc_sid=10d13b,https://www.instagram.com/p/DRSXii6DFKm/,,,[]
3.767737082266288e+18,scrapper_target6,2025-11-17 08:48:02+00:00,,https://scontent-sjc6-1.cdninstagram.com/v/t51.2885-15/583847625_17846108382608128_424884992852590241_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08_tt6&_nc_ht=scontent-sjc6-1.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2QFSaLXtAAx6aga_q5DhFW4Dqr_FtgOnR0_rpBDd7iEUt2y9abtNoANLeLBX66mqmVpLyREhUQrahSzFsvwEoCmw&_nc_ohc=TiJbXhUkBbMQ7kNvwG_YV-w&_nc_gid=_4zOMQR456GKiA8qI9a3QQ&edm=APs17CUBAAAA&ccb=7-5&oh=00_Aft9MiIqmamCyCJgrNgLjPLs34seHpWNw3Od_xipUNd6nA&oe=699EA27D&_nc_sid=10d13b,https://www.instagram.com/p/DRJsOn7jIAN/,,,"['scrapper_target1', 'scrapper_target2']"
